tab,row,editor,copy_name,title,word_count
Fishbowl,226,Anabelle,224 [Fishbowl] (mini re-CO) ecommerce inventory management software 250520,(mini re-CO) ecommerce inventory management software,826
Fishbowl,227,Anabelle,^^ [Fishbowl] (mini re-CO) warehouse logistics 250520,(mini re-CO) warehouse logistics,89
Fishbowl,227,Anabelle,^^ [Fishbowl] (mini re-CO) warehouse logistics 250520,(mini re-CO) warehouse logistics,89
Fishbowl,228,Anabelle,^^ [Fishbowl] (mini re-CO) lead time 250520,(mini re-CO) lead time,117
Fishbowl,229,Anabelle,225 [Fishbowl] (CP) Netsuite (rewrite) 250527,(CP) Netsuite (rewrite),560
Fishbowl,230,Anabelle,^^ [Fishbowl] (CP) Finale (rewrite) 250527,(CP) Finale (rewrite),587
Fishbowl,232,Anabelle,227 [Fishbowl] (mini re-CO) periodic inventory system 250603,(mini re-CO) periodic inventory system,587
Fishbowl,233,Anabelle,^^ [Fishbowl] (mini re-CO) days sales in inventory 250603,(mini re-CO) days sales in inventory,336
Fishbowl,233,Anabelle,^^ [Fishbowl] (mini re-CO) days sales in inventory 250603,(mini re-CO) days sales in inventory,336
Fishbowl,234,Anabelle,^^ [Fishbowl] (mini re-CO) fifo method 250603,(mini re-CO) fifo method,650
Fishbowl,242,Anabelle,235 [Fishbowl] (mini re-CO) manufacturing execution system 250610,(mini re-CO) manufacturing execution system,434
Fishbowl,243,Anabelle,^^ [Fishbowl] (mini re-CO) inventory shrinkage 250610,(mini re-CO) inventory shrinkage,296
Fishbowl,243,Anabelle,^^ [Fishbowl] (mini re-CO) inventory shrinkage 250610,(mini re-CO) inventory shrinkage,296
Fishbowl,244,Anabelle,^^ [Fishbowl] (mini re-CO) stockout 250610,(mini re-CO) stockout,429
Otter,111,Anabelle,109 [Otter] ai and privacy 250603,ai and privacy,1538
Otter,112,Anabelle,^^^ [Otter] (LP) video to text 250610,(LP) video to text,667
Otter,113,Anabelle,110 [Otter] (LP) youtube transcript generator 250610,(LP) youtube transcript generator,708
Otter,114,Anabelle,^^^ [Otter] (LP) speech to text 250610,(LP) speech to text,691
Otter,118,Anabelle,114 [Otter] (LP) podcast transcription 250617,(LP) podcast transcription,681
Otter,119,Anabelle,^^^ [Otter] (LP) mp3 to text 250617,(LP) mp3 to text,668
Otter,122,Anabelle,117 [Otter] (LP) mp4 to text 250624,(LP) mp4 to text,730
Otter,123,Anabelle,^^^ [Otter] (LP) audio to text 250624,(LP) audio to text,760
Otter,124,Anabelle,118 [Otter] CO (JAD) best ai note taker 250701,CO (JAD) best ai note taker,2590
Otter,125,^,^,^,
Webflow,675,Abby,672 [Webflow] (JAD) cta examples 250422,(JAD x3) cta examples,4825
Webflow,676,^^,673,^^,
Webflow,676,^^,673,^^,
Webflow,677,^^,674,^^,
