sheet_tab,resolved_client,articles,status
Apartment List,Apartment List,86,mapped
Athena,Athena,38,mapped
Athena2,Athena2,145,mapped
Bergdorf,Bergdorf,133,mapped
Better,Better,162,mapped
BetterUp,BetterUp,882,mapped
Blu,Blu,30,mapped
Boulevard,Boulevard,80,mapped
Cadre,Cadre,6,mapped
ChatGPT,ChatGPT,5,mapped
CoinTracker,Cointracker,374,mapped
College HUNKS,College HUNKS,61,mapped
Composer,Composer,88,mapped
Contra,Contra,312,mapped
Credit Karma,Credit Karma,1,mapped
Curology,Curology,327,mapped
Descript,Descript,31,mapped
Dr. Squatch,Dr Squatch,7,mapped
Dynamite,Dynamite,58,mapped
ESGgo,ESGgo,21,mapped
EarnIn,EarnIn,250,mapped
EarnIn B2B,Earnin B2B,120,mapped
Ellis,Ellis,35,mapped
Email On Acid,Email On Acid,104,mapped
Engine,Engine,180,mapped
Eventbrite,Eventbrite,23,mapped
Everand,Everand,135,mapped
FRC,FRC,6,mapped
Fellow,Fellow,35,mapped
Felt,Felt,105,mapped
Fishbowl,Fishbowl,242,mapped
Fivetran,Fivetran,136,mapped
Flex,Flex,15,mapped
Flip,Flip,195,mapped
Front,Front,113,mapped
Gainbridge,Gainbridge,282,mapped
Genstore,GenstoreAI,40,mapped
GlossGenius,Glossgenius,90,mapped
Gopuff,Gopuff,152,mapped
Grindr,Grindr,380,mapped
HoneyBook,Honeybook,85,mapped
Huntress,Huntress,27,mapped
Invoice Simple,Invoice Simple,240,mapped
IronVest,IronVest,80,mapped
Jaanuu,Jaanuu,183,mapped
Landing,Landing,66,mapped
Leapsome,Leapsome,71,mapped
Legit Security,Legit Security,221,mapped
Lenny,Lenny,3,mapped
Linktree,Linktree,326,mapped
Little Passports,Little Passports,122,mapped
Mailgun,Mailgun,103,mapped
Mailjet,Mailjet,109,mapped
Maven Clinic,Maven Clinic,34,mapped
Men's Wearhouse,Men's Wearhouse,17,mapped
Mirage,Mirage,745,mapped
Mistplay,Mistplay,140,mapped
Miter,Miter,91,mapped
Moss,Moss,78,mapped
Neeva,Neeva,30,mapped
Neiman,Neiman,147,mapped
Notion,Notion,391,mapped
Onton,Onton,106,mapped
OpenSea,OpenSea,15,mapped
Orderful,Orderful,103,mapped
Orderful 2,Orderful 2,135,mapped
Otter,Otter,136,mapped
Oyster,Oyster,381,mapped
Pebl,Pebl,4,mapped
Photoroom,Photoroom,20,mapped
Practice,Practice,301,mapped
Pylon,Pylon,153,mapped
Quinn,Quinn,231,mapped
Rox,Rox,187,mapped
Scribe,Scribe,90,mapped
Sermo,Sermo,31,mapped
Serval,Serval,17,mapped
Shift,Shift,87,mapped
Smartling,Smartling,180,mapped
Talkiatry,Talkiatry,2,mapped
Taskrabbit,TaskRabbit,75,mapped
Tempo.io,Tempo.io,510,mapped
ThredUp,ThredUp,240,mapped
TravelJoy,TravelJoy,15,mapped
Vimeo,Vimeo,191,mapped
Webflow,Webflow,791,mapped
ShareGate,Workleap + Sharegate,49,mapped
Workleap,Workleap + Sharegate,189,mapped
Worldcoin,Worldcoin,167,mapped
dydx,dYdX,413,mapped
n8n,n8n,31,mapped
