hub_client,salesforce_name,status,year,month,distinct_articles,editor_credit_rows,source_tabs
Apartment List,Apartment List,confirmed,2022,Oct,1,1,Apartment List
Apartment List,Apartment List,confirmed,2024,Oct,41,41,Apartment List
Apartment List,Apartment List,confirmed,2024,Nov,44,44,Apartment List
Athena,Athena,confirmed,2021,Nov,1,1,Athena
Athena,Athena,confirmed,2022,Feb,4,4,Athena
Athena,Athena,confirmed,2022,Mar,18,18,Athena
Athena,Athena,confirmed,2022,Apr,6,6,Athena
Athena,Athena,confirmed,2022,May,7,7,Athena
Athena2,,not_in_mapping,2020,Oct,4,4,Athena2
Athena2,,not_in_mapping,2025,Feb,5,5,Athena2
Athena2,,not_in_mapping,2025,Mar,5,5,Athena2
Athena2,,not_in_mapping,2025,Apr,13,13,Athena2
Athena2,,not_in_mapping,2025,May,24,24,Athena2
Athena2,,not_in_mapping,2025,Jun,18,18,Athena2
Athena2,,not_in_mapping,2025,Jul,22,22,Athena2
Athena2,,not_in_mapping,2025,Aug,18,18,Athena2
Athena2,,not_in_mapping,2025,Sep,17,17,Athena2
Athena2,,not_in_mapping,2025,Oct,13,13,Athena2
Athena2,,not_in_mapping,2025,Nov,4,4,Athena2
Athena2,,not_in_mapping,2026,Mar,1,1,Athena2
Athena2,,not_in_mapping,2026,Aug,1,1,Athena2
Bergdorf,,not_in_mapping,2022,Oct,5,5,Bergdorf
Bergdorf,,not_in_mapping,2022,Nov,11,11,Bergdorf
Bergdorf,,not_in_mapping,2022,Dec,10,10,Bergdorf
Bergdorf,,not_in_mapping,2023,Jan,31,31,Bergdorf
Bergdorf,,not_in_mapping,2023,Feb,25,25,Bergdorf
Bergdorf,,not_in_mapping,2023,Mar,25,25,Bergdorf
Bergdorf,,not_in_mapping,2023,Apr,18,18,Bergdorf
Bergdorf,,not_in_mapping,2023,May,3,3,Bergdorf
Bergdorf,,not_in_mapping,2026,Apr,1,1,Bergdorf
Bergdorf,,not_in_mapping,2026,Dec,4,4,Bergdorf
Better,Better,confirmed,2025,Apr,4,4,Better
Better,Better,confirmed,2025,May,10,10,Better
Better,Better,confirmed,2025,Jun,15,15,Better
Better,Better,confirmed,2025,Jul,19,19,Better
Better,Better,confirmed,2025,Aug,20,20,Better
Better,Better,confirmed,2025,Sep,20,20,Better
Better,Better,confirmed,2025,Oct,18,18,Better
Better,Better,confirmed,2025,Nov,14,14,Better
Better,Better,confirmed,2025,Dec,22,22,Better
Better,Better,confirmed,2026,Jan,13,13,Better
