raw_in_sheet,resolved_writer,articles,first_month,last_month,source_of_truth
?,?,2,2025-08,2025-08,DaniQ confirmation
AI,AI,5,2023-05,2026-04,DaniQ confirmation
Abby,Abby Norwood,371,2023-01,2026-10,DaniQ confirmation
Aby,Abby Norwood,1,2026-05,2026-05,DaniQ confirmation
Adaeze,Adaeze Nwakaeze,248,2024-11,2026-06,DaniQ confirmation
Adaeze*,Adaeze Nwakaeze,1,2024-11,2024-11,DaniQ confirmation
Alex,Alex Shoemaker,107,2024-11,2026-01,DaniQ confirmation
Alex (audition),Alex Shoemaker,2,2025-07,2025-09,DaniQ confirmation
Alex*,Alex Shoemaker,2,2024-11,2025-06,DaniQ confirmation
Alison,Alison,1,2023-05,2023-05,DaniQ confirmation
Alyson*,Alyson*,2,2024-11,2024-11,DaniQ confirmation
Alyssa,Alyssa,18,2022-06,2024-02,DaniQ confirmation
Amanda W (aud writer),Amanda W (aud writer),1,2025-03,2025-03,DaniQ confirmation
Amanda,Amanda Walgrove,31,2025-02,2025-08,DaniQ confirmation
Anabelle,Anabelle Zaluski,28,2024-01,2026-06,DaniQ confirmation
Annabelle,Anabelle Zaluski,3,2026-04,2026-05,DaniQ confirmation
Andrea*,Andrea*,1,2025-03,2025-03,DaniQ confirmation
Andre,Andrew Blackman,4,2022-02,2025-02,DaniQ confirmation
Andrew,Andrew Blackman,78,2025-12,2026-06,DaniQ confirmation
Aranyak,Aranyak Nanda,642,2019-09,2026-12,DaniQ confirmation
Ashton,Ashton Playsted,467,2021-11,2026-08,DaniQ confirmation
Auditioning writer (Kimberly),Auditioning writer (Kimberly),1,2025-06,2025-06,DaniQ confirmation
Austin,Austin,44,2023-07,2024-04,DaniQ confirmation
Austin DeNoce,Austin DeNoce,10,2026-09,2026-10,DaniQ confirmation
Aysenur,Aysenur Zaza,92,2025-08,2026-10,DaniQ confirmation
Ayşenur,Aysenur Zaza,1,2025-08,2025-08,DaniQ confirmation
Blain,Blain,1,2024-10,2024-10,DaniQ confirmation
Bonniey,Bonniey Josef,68,2024-10,2026-12,DaniQ confirmation
Brad,Brad,24,2024-05,2026-07,DaniQ confirmation
Braden,Braden,28,2024-07,2024-08,DaniQ confirmation
Braden*,Braden*,2,2024-06,2024-06,DaniQ confirmation
Brandon,Brandon Morgan,30,2026-04,2026-06,DaniQ confirmation
Brandon*,Brandon Morgan,1,2025-06,2025-06,DaniQ confirmation
Brian (trial),Brian (trial),1,2025-08,2025-08,DaniQ confirmation
Brian,Brian Abrams,89,2025-08,2026-03,DaniQ confirmation
Brian A,Brian Abrams,1,2025-08,2025-08,DaniQ confirmation
Brian*,Brian Abrams,2,2025-08,2025-08,DaniQ confirmation
Briley,Briley,21,2023-09,2024-04,DaniQ confirmation
Britt*,Britt*,2,2025-03,2025-03,DaniQ confirmation
CC,CC,59,2023-05,2023-10,DaniQ confirmation
CJ,CJ,174,2023-10,2026-11,DaniQ confirmation
Camile,Camile,1,2022-03,2022-03,DaniQ confirmation
Camille,Camille Tovee,669,2022-02,2026-12,DaniQ confirmation
Camille Tovee,Camille Tovee,4,2024-01,2024-01,DaniQ confirmation
Candice,Candice,54,2023-09,2026-11,DaniQ confirmation
Cat,Cat,89,2023-07,2024-04,DaniQ confirmation
Catherine,Catherine,2,2023-07,2023-07,DaniQ confirmation
Chantel,Chantel,158,2022-02,2026-11,DaniQ confirmation
Chels,Chelsea Oliver,17,2025-02,2025-05,DaniQ confirmation
Chelsea,Chelsea Oliver,814,2022-10,2026-11,DaniQ confirmation
Cheslea,Cheslea,1,2024-04,2024-04,DaniQ confirmation
Chris Tepedino*,Chris Tepedino*,2,2025-02,2025-02,DaniQ confirmation
Christy,Christy,35,2024-04,2024-10,DaniQ confirmation
Cianna*,Cianna*,1,2024-12,2024-12,DaniQ confirmation
Claire,Claire,165,2022-02,2024-12,DaniQ confirmation
Claire*,Claire*,1,2024-11,2024-11,DaniQ confirmation
Curtis,Curtis,93,2023-01,2026-03,DaniQ confirmation
Cynthia (trial writer),Cynthia (trial writer),1,2025-08,2025-08,DaniQ confirmation
Dakota*,Dakota*,1,2024-09,2024-09,DaniQ confirmation
Dan,Dan,1,2025-05,2025-05,DaniQ confirmation
Dan*,Dan*,2,2025-05,2025-05,DaniQ confirmation
Dana,Dana,211,2022-01,2026-07,DaniQ confirmation
Dani,Dani,1,2025-09,2025-09,DaniQ confirmation
Dan,Daniel Pelberg,27,2025-06,2025-08,DaniQ confirmation
Daniel,Daniel Pelberg,2,2025-08,2025-08,DaniQ confirmation
Daniela,Daniela,4,2025-09,2025-10,DaniQ confirmation
Daniele,Danielle MacKinlay,1,2025-07,2025-07,DaniQ confirmation
Danielle,Danielle MacKinlay,152,2024-10,2026-05,DaniQ confirmation
Dave,Dave,20,2023-01,2024-05,DaniQ confirmation
Dave G,Dave G,1,2024-05,2024-05,DaniQ confirmation
David Chang*,David Chang*,2,2024-05,2024-06,DaniQ confirmation
Dominique,Dominique,2,2025-04,2025-05,DaniQ confirmation
Eleanor,Eleanor Pitkin,54,2026-01,2026-06,DaniQ confirmation
Ellie*,Ellie*,2,2025-03,2025-04,DaniQ confirmation
Emeka,Emeka,10,2023-11,2026-12,DaniQ confirmation
Emile,Emile,388,2020-12,2026-12,DaniQ confirmation
Emily,Emily Pitkin,37,2025-11,2026-11,DaniQ confirmation
Emle,Emle,2,2024-10,2026-01,DaniQ confirmation
Eric,Eric Esposito,1008,2022-03,2026-12,DaniQ confirmation
Eric E,Eric Esposito,17,2023-10,2024-11,DaniQ confirmation
Eric E.,Eric Esposito,1,2023-08,2023-08,DaniQ confirmation
GR0,GR0,40,2024-01,2025-04,DaniQ confirmation
Gabryel,Gabryel,210,2022-11,2023-10,DaniQ confirmation
Gabyrel,Gabyrel,1,2023-08,2023-08,DaniQ confirmation
Garret,Garrett Schlichte,1,2024-09,2024-09,DaniQ confirmation
Garrett,Garrett Schlichte,36,2024-05,2024-10,DaniQ confirmation
Genie*,Genie*,1,2025-05,2025-05,DaniQ confirmation
Gr0,Gr0,1,2024-01,2024-01,DaniQ confirmation
Grace Anne*,Grace Anne*,2,2025-03,2025-03,DaniQ confirmation
Haley,Haley Drucker,10,2023-05,2025-11,DaniQ confirmation
Hannah,Hannah,1,2025-06,2025-06,DaniQ confirmation
Hannah*,Hannah*,1,2025-06,2025-06,DaniQ confirmation
JJ*,JJ*,1,2024-10,2024-10,DaniQ confirmation
Jack,Jack Limebear,129,2025-01,2026-11,DaniQ confirmation
Jacob,Jacob McPhail,116,2025-01,2026-06,DaniQ confirmation
Jacob*,Jacob McPhail,2,2025-01,2025-01,DaniQ confirmation
James,James,35,2023-05,2024-09,DaniQ confirmation
