client,year,month,operating_model_actual,log_editorial_month,log_calendar_month,edit_minus_prod,verdict
Apartment List,2022,Oct,0,1,1,1,no_operating_model
Apartment List,2024,Oct,42,41,41,-1,close
Apartment List,2024,Nov,54,44,44,-10,gap
Athena,2021,Nov,0,1,1,1,no_operating_model
Athena,2022,Feb,0,4,4,4,no_operating_model
Athena,2022,Mar,0,18,18,18,no_operating_model
Athena,2022,Apr,0,6,5,6,no_operating_model
Athena,2022,May,0,7,7,7,no_operating_model
Athena,2025,Jan,5,0,0,-5,missing_from_log
Athena,2025,Mar,8,0,0,-8,missing_from_log
Athena,2025,Apr,18,0,0,-18,missing_from_log
Athena,2025,May,23,0,0,-23,missing_from_log
Athena,2025,Jun,18,0,0,-18,missing_from_log
Athena,2025,Jul,20,0,0,-20,missing_from_log
Athena,2025,Aug,20,0,0,-20,missing_from_log
Athena,2025,Sep,12,0,0,-12,missing_from_log
Athena,2025,Oct,21,0,0,-21,missing_from_log
Better,2025,Apr,6,4,4,-2,close
Better,2025,May,10,10,10,0,exact_match
Better,2025,Jun,18,15,15,-3,gap
Better,2025,Jul,18,19,19,1,close
Better,2025,Aug,18,20,20,2,close
Better,2025,Sep,18,20,20,2,close
Better,2025,Oct,20,18,18,-2,close
Better,2025,Nov,18,14,14,-4,gap
Better,2025,Dec,18,22,22,4,gap
Better,2026,Jan,13,13,5,0,exact_match
Better,2026,Feb,5,5,13,0,exact_match
BetterUp,2022,Feb,0,1,1,1,no_operating_model
BetterUp,2022,Mar,0,20,20,20,no_operating_model
BetterUp,2022,Apr,0,32,32,32,no_operating_model
BetterUp,2022,May,0,62,62,62,no_operating_model
BetterUp,2022,Jun,0,20,20,20,no_operating_model
BetterUp,2022,Jul,0,38,38,38,no_operating_model
BetterUp,2022,Aug,0,40,40,40,no_operating_model
BetterUp,2022,Sep,0,37,37,37,no_operating_model
BetterUp,2022,Oct,24,28,28,4,gap
BetterUp,2022,Nov,23,20,20,-3,gap
BetterUp,2022,Dec,41,40,40,-1,close
BetterUp,2023,Jan,40,42,42,2,close
BetterUp,2023,Feb,42,41,41,-1,close
BetterUp,2023,Mar,51,37,37,-14,gap
BetterUp,2023,Apr,56,55,55,-1,close
BetterUp,2023,May,63,78,78,15,gap
BetterUp,2023,Jun,48,48,48,0,exact_match
BetterUp,2023,Jul,60,50,50,-10,gap
BetterUp,2023,Aug,55,65,65,10,gap
BetterUp,2023,Sep,46,45,45,-1,close
BetterUp,2023,Oct,40,50,50,10,gap
BetterUp,2023,Nov,38,28,28,-10,gap
Blu,2024,Nov,2,2,2,0,exact_match
Blu,2024,Dec,3,3,3,0,exact_match
Blu,2025,Jan,10,8,8,-2,close
Blu,2025,Feb,10,9,9,-1,close
Blu,2025,Mar,0,3,3,3,no_operating_model
Blu,2025,Apr,5,4,4,-1,close
Blu,2025,May,0,1,1,1,no_operating_model
Boulevard,2026,Jan,5,5,3,0,exact_match
Boulevard,2026,Feb,10,10,10,0,exact_match
Boulevard,2026,Mar,15,15,17,0,exact_match
Boulevard,2026,Apr,25,23,19,-2,close
Boulevard,2026,May,26,24,21,-2,close
Boulevard,2026,Jun,0,3,10,3,no_operating_model
Captions,2023,Oct,5,0,0,-5,missing_from_log
Captions,2023,Nov,20,0,0,-20,missing_from_log
Captions,2023,Dec,25,0,0,-25,missing_from_log
Captions,2024,Jan,25,0,0,-25,missing_from_log
Captions,2024,Feb,14,0,0,-14,missing_from_log
Captions,2024,Mar,20,0,0,-20,missing_from_log
Captions,2024,Apr,20,0,0,-20,missing_from_log
Captions,2024,May,21,0,0,-21,missing_from_log
Captions,2024,Jun,20,0,0,-20,missing_from_log
Captions,2024,Jul,20,0,0,-20,missing_from_log
Captions,2024,Aug,20,0,0,-20,missing_from_log
Captions,2024,Sep,25,0,0,-25,missing_from_log
Captions,2024,Oct,30,0,0,-30,missing_from_log
Captions,2024,Nov,40,0,0,-40,missing_from_log
Captions,2024,Dec,40,0,0,-40,missing_from_log
Captions,2025,Jan,40,0,0,-40,missing_from_log
Captions,2025,Feb,40,0,0,-40,missing_from_log
Captions,2025,Mar,79,0,0,-79,missing_from_log
Captions,2025,Apr,74,0,0,-74,missing_from_log
Captions,2025,May,47,0,0,-47,missing_from_log
Captions,2025,Jun,40,0,0,-40,missing_from_log
Captions,2025,Jul,40,0,0,-40,missing_from_log
Captions,2025,Aug,8,0,0,-8,missing_from_log
Captions,2025,Oct,9,0,0,-9,missing_from_log
Captions,2025,Nov,10,0,0,-10,missing_from_log
Captions,2025,Dec,11,0,0,-11,missing_from_log
